input_file,output_file,samples,window,gpu_ms
data/input/signal_0083.csv,output/filtered/signal_0083.csv,2048,7,0.0102
data/input/signal_0084.csv,output/filtered/signal_0084.csv,2048,7,0.0093
data/input/signal_0085.csv,output/filtered/signal_0085.csv,2048,7,0.0082
data/input/signal_0086.csv,output/filtered/signal_0086.csv,2048,7,0.0183
data/input/signal_0087.csv,output/filtered/signal_0087.csv,2048,7,0.0102
data/input/signal_0088.csv,output/filtered/signal_0088.csv,2048,7,0.0092
data/input/signal_0089.csv,output/filtered/signal_0089.csv,2048,7,0.0102
data/input/signal_0090.csv,output/filtered/signal_0090.csv,2048,7,0.0082
data/input/signal_0091.csv,output/filtered/signal_0091.csv,2048,7,0.0092
data/input/signal_0092.csv,output/filtered/signal_0092.csv,2048,7,0.0082
data/input/signal_0093.csv,output/filtered/signal_0093.csv,2048,7,0.0102
data/input/signal_0094.csv,output/filtered/signal_0094.csv,2048,7,0.0102
data/input/signal_0095.csv,output/filtered/signal_0095.csv,2048,7,0.0174
data/input/signal_0096.csv,output/filtered/signal_0096.csv,2048,7,0.0195
data/input/signal_0097.csv,output/filtered/signal_0097.csv,2048,7,0.0174
data/input/signal_0098.csv,output/filtered/signal_0098.csv,2048,7,0.0092
data/input/signal_0099.csv,output/filtered/signal_0099.csv,2048,7,0.0082
